Source	Target	Type	Id	Weight
1	2	Directed	1	1.0
2	4	Directed	2	1.0
2	174	Directed	3	1.0
2	978	Directed	4	1.0
1	1237	Directed	5	1.0
1237	1239	Directed	6	1.0
1237	1435	Directed	7	1.0
1237	1608	Directed	8	1.0
1237	1771	Directed	9	1.0
1	1899	Directed	10	1.0
1899	1901	Directed	11	1.0
1899	2067	Directed	12	1.0
1899	2170	Directed	13	1.0
1899	2569	Directed	14	1.0
1899	2618	Directed	15	1.0
1	2808	Directed	16	1.0
2808	2810	Directed	17	1.0
2808	2857	Directed	18	1.0
2808	3119	Directed	19	1.0
1	3319	Directed	20	1.0
3319	3321	Directed	21	1.0
3319	3529	Directed	22	1.0
3319	3661	Directed	23	1.0
3319	3940	Directed	24	1.0
3319	4035	Directed	25	1.0
3319	4197	Directed	26	1.0
1	4282	Directed	27	1.0
4282	4284	Directed	28	1.0
4282	4392	Directed	29	1.0
1	4829	Directed	30	1.0
4829	4831	Directed	31	1.0
4829	4898	Directed	32	1.0
4829	5188	Directed	33	1.0
1	5666	Directed	34	1.0
5666	5668	Directed	35	1.0
5666	5749	Directed	36	1.0
1	6320	Directed	37	1.0
6320	6322	Directed	38	1.0
6320	6682	Directed	39	1.0
6320	7129	Directed	40	1.0
6320	7508	Directed	41	1.0
6320	7609	Directed	42	1.0
6320	7667	Directed	43	1.0
6320	8636	Directed	44	1.0
1	9380	Directed	45	1.0
9380	9382	Directed	46	1.0
9380	9459	Directed	47	1.0
9380	9771	Directed	48	1.0
9380	10240	Directed	49	1.0
9380	10331	Directed	50	1.0
