Source	Target	Type	id	weight
4197	4199	Directed	751	1.0
4199	4200	Directed	752	1.0
4199	4201	Directed	753	1.0
4201	4202	Directed	754	1.0
4201	4204	Directed	755	1.0
4204	4205	Directed	756	1.0
4204	4206	Directed	757	1.0
4204	4207	Directed	758	1.0
4204	4208	Directed	759	1.0
4199	4210	Directed	760	1.0
4210	4211	Directed	761	1.0
4211	4212	Directed	762	1.0
4211	4213	Directed	763	1.0
4211	4214	Directed	764	1.0
4211	4215	Directed	765	1.0
4211	4216	Directed	766	1.0
4211	4217	Directed	767	1.0
4210	4218	Directed	768	1.0
4218	4219	Directed	769	1.0
4218	4220	Directed	770	1.0
4210	4221	Directed	771	1.0
4210	4223	Directed	772	1.0
4197	4225	Directed	773	1.0
4225	4226	Directed	774	1.0
4226	4227	Directed	775	1.0
4226	4229	Directed	776	1.0
4226	4231	Directed	777	1.0
4231	4232	Directed	778	1.0
4231	4233	Directed	779	1.0
4231	4234	Directed	780	1.0
4231	4235	Directed	781	1.0
4231	4236	Directed	782	1.0
4225	4238	Directed	783	1.0
4238	4239	Directed	784	1.0
4239	4240	Directed	785	1.0
4239	4241	Directed	786	1.0
4239	4242	Directed	787	1.0
4239	4243	Directed	788	1.0
4239	4244	Directed	789	1.0
4238	4245	Directed	790	1.0
4245	4246	Directed	791	1.0
4245	4247	Directed	792	1.0
4245	4249	Directed	793	1.0
4245	4250	Directed	794	1.0
4238	4251	Directed	795	1.0
4251	4252	Directed	796	1.0
4251	4254	Directed	797	1.0
4251	4255	Directed	798	1.0
4238	4257	Directed	799	1.0
4257	4258	Directed	800	1.0
4257	4259	Directed	801	1.0
4257	4260	Directed	802	1.0
4238	4261	Directed	803	1.0
4261	4262	Directed	804	1.0
4261	4263	Directed	805	1.0
4261	4264	Directed	806	1.0
4261	4265	Directed	807	1.0
4238	4266	Directed	808	1.0
4266	4267	Directed	809	1.0
4266	4268	Directed	810	1.0
4266	4269	Directed	811	1.0
4238	4270	Directed	812	1.0
4270	4271	Directed	813	1.0
4270	4273	Directed	814	1.0
4270	4274	Directed	815	1.0
4270	4275	Directed	816	1.0
4238	4276	Directed	817	1.0
4276	4277	Directed	818	1.0
4276	4278	Directed	819	1.0
4276	4279	Directed	820	1.0
4276	4280	Directed	821	1.0
4225	4281	Directed	822	1.0
