Source	Target	Type	Id	Weight
8636	8638	Directed	1	1.0
8638	8639	Directed	2	1.0
8639	8640	Directed	3	1.0
8640	8641	Directed	4	1.0
8640	8643	Directed	5	1.0
8639	8645	Directed	6	1.0
8639	8647	Directed	7	1.0
8647	8648	Directed	8	1.0
8647	8650	Directed	9	1.0
8647	8652	Directed	10	1.0
8639	8654	Directed	11	1.0
8654	8655	Directed	12	1.0
8654	8656	Directed	13	1.0
8654	8658	Directed	14	1.0
8638	8659	Directed	15	1.0
8659	8660	Directed	16	1.0
8659	8663	Directed	17	1.0
8663	8664	Directed	18	1.0
8663	8666	Directed	19	1.0
8659	8668	Directed	20	1.0
8668	8669	Directed	21	1.0
8668	8670	Directed	22	1.0
8659	8671	Directed	23	1.0
8659	8673	Directed	24	1.0
8659	8676	Directed	25	1.0
8638	8679	Directed	26	1.0
8679	8680	Directed	27	1.0
8680	8681	Directed	28	1.0
8680	8682	Directed	29	1.0
8682	8683	Directed	30	1.0
8682	8684	Directed	31	1.0
8682	8685	Directed	32	1.0
8679	8686	Directed	33	1.0
8686	8687	Directed	34	1.0
8687	8688	Directed	35	1.0
8687	8689	Directed	36	1.0
8687	8690	Directed	37	1.0
8686	8691	Directed	38	1.0
8686	8692	Directed	39	1.0
8692	8693	Directed	40	1.0
8692	8694	Directed	41	1.0
8692	8695	Directed	42	1.0
8692	8696	Directed	43	1.0
8686	8697	Directed	44	1.0
8697	8698	Directed	45	1.0
8697	8699	Directed	46	1.0
8697	8700	Directed	47	1.0
8697	8701	Directed	48	1.0
8686	8702	Directed	49	1.0
8702	8703	Directed	50	1.0
8702	8704	Directed	51	1.0
8702	8705	Directed	52	1.0
8702	8706	Directed	53	1.0
8686	8707	Directed	54	1.0
8707	8708	Directed	55	1.0
8707	8709	Directed	56	1.0
8707	8710	Directed	57	1.0
8707	8711	Directed	58	1.0
8707	8712	Directed	59	1.0
8707	8713	Directed	60	1.0
8707	8714	Directed	61	1.0
8707	8715	Directed	62	1.0
8707	8716	Directed	63	1.0
8679	8717	Directed	64	1.0
8717	8718	Directed	65	1.0
8718	8719	Directed	66	1.0
8718	8720	Directed	67	1.0
8718	8721	Directed	68	1.0
8718	8722	Directed	69	1.0
8718	8723	Directed	70	1.0
8718	8724	Directed	71	1.0
8718	8725	Directed	72	1.0
8718	8726	Directed	73	1.0
8718	8727	Directed	74	1.0
8718	8728	Directed	75	1.0
8718	8729	Directed	76	1.0
8718	8730	Directed	77	1.0
8717	8731	Directed	78	1.0
8731	8732	Directed	79	1.0
8731	8733	Directed	80	1.0
8731	8734	Directed	81	1.0
8731	8735	Directed	82	1.0
8717	8736	Directed	83	1.0
8736	8737	Directed	84	1.0
8736	8738	Directed	85	1.0
8736	8739	Directed	86	1.0
8638	8740	Directed	87	1.0
8636	8741	Directed	88	1.0
8741	8742	Directed	89	1.0
8742	8743	Directed	90	1.0
8743	8744	Directed	91	1.0
8744	8745	Directed	92	1.0
8744	8747	Directed	93	1.0
8744	8749	Directed	94	1.0
8744	8750	Directed	95	1.0
8743	8751	Directed	96	1.0
8751	8752	Directed	97	1.0
8751	8753	Directed	98	1.0
8742	8755	Directed	99	1.0
8755	8756	Directed	100	1.0
8756	8757	Directed	101	1.0
8756	8759	Directed	102	1.0
8756	8760	Directed	103	1.0
8755	8762	Directed	104	1.0
8762	8763	Directed	105	1.0
8762	8765	Directed	106	1.0
8742	8767	Directed	107	1.0
8767	8768	Directed	108	1.0
8768	8769	Directed	109	1.0
8768	8771	Directed	110	1.0
8767	8773	Directed	111	1.0
8773	8774	Directed	112	1.0
8773	8776	Directed	113	1.0
8773	8777	Directed	114	1.0
8773	8779	Directed	115	1.0
8742	8780	Directed	116	1.0
8780	8781	Directed	117	1.0
8781	8782	Directed	118	1.0
8781	8783	Directed	119	1.0
8780	8784	Directed	120	1.0
8742	8786	Directed	121	1.0
8786	8787	Directed	122	1.0
8787	8788	Directed	123	1.0
8787	8790	Directed	124	1.0
8787	8791	Directed	125	1.0
8786	8792	Directed	126	1.0
8742	8794	Directed	127	1.0
8794	8795	Directed	128	1.0
8795	8796	Directed	129	1.0
8795	8798	Directed	130	1.0
8794	8800	Directed	131	1.0
8800	8801	Directed	132	1.0
8800	8802	Directed	133	1.0
8800	8803	Directed	134	1.0
8794	8804	Directed	135	1.0
8804	8805	Directed	136	1.0
8804	8807	Directed	137	1.0
8794	8808	Directed	138	1.0
8808	8809	Directed	139	1.0
8808	8811	Directed	140	1.0
8742	8813	Directed	141	1.0
8742	8816	Directed	142	1.0
8741	8819	Directed	143	1.0
8819	8820	Directed	144	1.0
8820	8821	Directed	145	1.0
8821	8822	Directed	146	1.0
8821	8824	Directed	147	1.0
8821	8826	Directed	148	1.0
8820	8828	Directed	149	1.0
8828	8829	Directed	150	1.0
8828	8831	Directed	151	1.0
8828	8833	Directed	152	1.0
8828	8835	Directed	153	1.0
8828	8836	Directed	154	1.0
8819	8838	Directed	155	1.0
8838	8839	Directed	156	1.0
8839	8840	Directed	157	1.0
8839	8841	Directed	158	1.0
8838	8843	Directed	159	1.0
8843	8844	Directed	160	1.0
8843	8846	Directed	161	1.0
8843	8848	Directed	162	1.0
8838	8849	Directed	163	1.0
8849	8850	Directed	164	1.0
8849	8851	Directed	165	1.0
8849	8853	Directed	166	1.0
8838	8855	Directed	167	1.0
8855	8856	Directed	168	1.0
8855	8857	Directed	169	1.0
8838	8859	Directed	170	1.0
8819	8861	Directed	171	1.0
8861	8862	Directed	172	1.0
8862	8863	Directed	173	1.0
8862	8864	Directed	174	1.0
8861	8866	Directed	175	1.0
8866	8867	Directed	176	1.0
8866	8869	Directed	177	1.0
8866	8871	Directed	178	1.0
8741	8873	Directed	179	1.0
8636	8875	Directed	180	1.0
8875	8876	Directed	181	1.0
8876	8877	Directed	182	1.0
8877	8878	Directed	183	1.0
8877	8880	Directed	184	1.0
8877	8881	Directed	185	1.0
8876	8883	Directed	186	1.0
8883	8884	Directed	187	1.0
8883	8885	Directed	188	1.0
8885	8886	Directed	189	1.0
8885	8887	Directed	190	1.0
8883	8888	Directed	191	1.0
8883	8890	Directed	192	1.0
8876	8892	Directed	193	1.0
8892	8893	Directed	194	1.0
8893	8894	Directed	195	1.0
8893	8896	Directed	196	1.0
8893	8898	Directed	197	1.0
8893	8899	Directed	198	1.0
8893	8901	Directed	199	1.0
8892	8902	Directed	200	1.0
8902	8903	Directed	201	1.0
8902	8904	Directed	202	1.0
8902	8906	Directed	203	1.0
8892	8908	Directed	204	1.0
8892	8910	Directed	205	1.0
8910	8911	Directed	206	1.0
8910	8912	Directed	207	1.0
8910	8914	Directed	208	1.0
8892	8916	Directed	209	1.0
8916	8917	Directed	210	1.0
8916	8919	Directed	211	1.0
8916	8921	Directed	212	1.0
8892	8922	Directed	213	1.0
8892	8924	Directed	214	1.0
8892	8926	Directed	215	1.0
8926	8927	Directed	216	1.0
8926	8928	Directed	217	1.0
8892	8929	Directed	218	1.0
8875	8931	Directed	219	1.0
8931	8932	Directed	220	1.0
8932	8933	Directed	221	1.0
8932	8935	Directed	222	1.0
8931	8937	Directed	223	1.0
8931	8940	Directed	224	1.0
8940	8941	Directed	225	1.0
8940	8943	Directed	226	1.0
8940	8944	Directed	227	1.0
8940	8946	Directed	228	1.0
8940	8948	Directed	229	1.0
8636	8950	Directed	230	1.0
8950	8951	Directed	231	1.0
8951	8952	Directed	232	1.0
8951	8954	Directed	233	1.0
8951	8957	Directed	234	1.0
8951	8960	Directed	235	1.0
8960	8961	Directed	236	1.0
8960	8963	Directed	237	1.0
8950	8964	Directed	238	1.0
8964	8965	Directed	239	1.0
8965	8966	Directed	240	1.0
8966	8967	Directed	241	1.0
8966	8968	Directed	242	1.0
8965	8969	Directed	243	1.0
8965	8971	Directed	244	1.0
8965	8973	Directed	245	1.0
8965	8975	Directed	246	1.0
8965	8977	Directed	247	1.0
8965	8979	Directed	248	1.0
8964	8981	Directed	249	1.0
8981	8982	Directed	250	1.0
8981	8984	Directed	251	1.0
8981	8986	Directed	252	1.0
8986	8987	Directed	253	1.0
8986	8988	Directed	254	1.0
8986	8989	Directed	255	1.0
8981	8991	Directed	256	1.0
8981	8993	Directed	257	1.0
8950	8995	Directed	258	1.0
8995	8996	Directed	259	1.0
8996	8997	Directed	260	1.0
8996	8998	Directed	261	1.0
8995	8999	Directed	262	1.0
8999	9000	Directed	263	1.0
8999	9002	Directed	264	1.0
8999	9003	Directed	265	1.0
8950	9004	Directed	266	1.0
9004	9005	Directed	267	1.0
9005	9006	Directed	268	1.0
9005	9007	Directed	269	1.0
9004	9008	Directed	270	1.0
9008	9009	Directed	271	1.0
9008	9011	Directed	272	1.0
9008	9013	Directed	273	1.0
9004	9014	Directed	274	1.0
9014	9015	Directed	275	1.0
9014	9016	Directed	276	1.0
9014	9017	Directed	277	1.0
8950	9018	Directed	278	1.0
9018	9019	Directed	279	1.0
9019	9020	Directed	280	1.0
9019	9021	Directed	281	1.0
9018	9023	Directed	282	1.0
9023	9024	Directed	283	1.0
9023	9026	Directed	284	1.0
9018	9028	Directed	285	1.0
9028	9029	Directed	286	1.0
9028	9030	Directed	287	1.0
8950	9031	Directed	288	1.0
9031	9032	Directed	289	1.0
9032	9033	Directed	290	1.0
9032	9035	Directed	291	1.0
9032	9036	Directed	292	1.0
9031	9038	Directed	293	1.0
9038	9039	Directed	294	1.0
9038	9040	Directed	295	1.0
9031	9042	Directed	296	1.0
9042	9043	Directed	297	1.0
9042	9044	Directed	298	1.0
8950	9046	Directed	299	1.0
9046	9047	Directed	300	1.0
9046	9050	Directed	301	1.0
9050	9051	Directed	302	1.0
9050	9053	Directed	303	1.0
9050	9054	Directed	304	1.0
9050	9055	Directed	305	1.0
9050	9056	Directed	306	1.0
9050	9058	Directed	307	1.0
9050	9060	Directed	308	1.0
9050	9062	Directed	309	1.0
8950	9064	Directed	310	1.0
8636	9066	Directed	311	1.0
9066	9068	Directed	312	1.0
9068	9069	Directed	313	1.0
9069	9070	Directed	314	1.0
9070	9071	Directed	315	1.0
9070	9072	Directed	316	1.0
9069	9073	Directed	317	1.0
9068	9074	Directed	318	1.0
9074	9075	Directed	319	1.0
9074	9077	Directed	320	1.0
9074	9079	Directed	321	1.0
9079	9080	Directed	322	1.0
9079	9081	Directed	323	1.0
9074	9083	Directed	324	1.0
9083	9084	Directed	325	1.0
9083	9085	Directed	326	1.0
9068	9087	Directed	327	1.0
9087	9088	Directed	328	1.0
9087	9089	Directed	329	1.0
9068	9091	Directed	330	1.0
9091	9092	Directed	331	1.0
9091	9094	Directed	332	1.0
9091	9095	Directed	333	1.0
9091	9096	Directed	334	1.0
9068	9097	Directed	335	1.0
9097	9098	Directed	336	1.0
9097	9099	Directed	337	1.0
9099	9100	Directed	338	1.0
9099	9102	Directed	339	1.0
9097	9103	Directed	340	1.0
9103	9104	Directed	341	1.0
9103	9105	Directed	342	1.0
9103	9106	Directed	343	1.0
9103	9108	Directed	344	1.0
9097	9110	Directed	345	1.0
9097	9112	Directed	346	1.0
9068	9114	Directed	347	1.0
9066	9117	Directed	348	1.0
9117	9118	Directed	349	1.0
9118	9119	Directed	350	1.0
9118	9120	Directed	351	1.0
9117	9122	Directed	352	1.0
9122	9123	Directed	353	1.0
9122	9124	Directed	354	1.0
9122	9126	Directed	355	1.0
9122	9127	Directed	356	1.0
9127	9129	Directed	357	1.0
9127	9131	Directed	358	1.0
9127	9133	Directed	359	1.0
9066	9135	Directed	360	1.0
9135	9136	Directed	361	1.0
9135	9139	Directed	362	1.0
9139	9140	Directed	363	1.0
9139	9142	Directed	364	1.0
9139	9144	Directed	365	1.0
9139	9146	Directed	366	1.0
8636	9148	Directed	367	1.0
9148	9149	Directed	368	1.0
9149	9150	Directed	369	1.0
9150	9151	Directed	370	1.0
9150	9153	Directed	371	1.0
9149	9154	Directed	372	1.0
9154	9155	Directed	373	1.0
9154	9157	Directed	374	1.0
9149	9159	Directed	375	1.0
9159	9160	Directed	376	1.0
9159	9161	Directed	377	1.0
9149	9163	Directed	378	1.0
9149	9166	Directed	379	1.0
9166	9167	Directed	380	1.0
9166	9168	Directed	381	1.0
9149	9170	Directed	382	1.0
9149	9173	Directed	383	1.0
9148	9176	Directed	384	1.0
9176	9177	Directed	385	1.0
9177	9178	Directed	386	1.0
9177	9179	Directed	387	1.0
9176	9180	Directed	388	1.0
9180	9181	Directed	389	1.0
9180	9182	Directed	390	1.0
9176	9183	Directed	391	1.0
9183	9184	Directed	392	1.0
9183	9185	Directed	393	1.0
9176	9186	Directed	394	1.0
9186	9187	Directed	395	1.0
9186	9189	Directed	396	1.0
9186	9190	Directed	397	1.0
9190	9191	Directed	398	1.0
9190	9193	Directed	399	1.0
9186	9195	Directed	400	1.0
9186	9197	Directed	401	1.0
9186	9199	Directed	402	1.0
9148	9201	Directed	403	1.0
9201	9202	Directed	404	1.0
9202	9203	Directed	405	1.0
9203	9204	Directed	406	1.0
9203	9205	Directed	407	1.0
9202	9206	Directed	408	1.0
9201	9208	Directed	409	1.0
9208	9209	Directed	410	1.0
9208	9210	Directed	411	1.0
8636	9211	Directed	412	1.0
9211	9212	Directed	413	1.0
9212	9213	Directed	414	1.0
9212	9215	Directed	415	1.0
9212	9217	Directed	416	1.0
9211	9219	Directed	417	1.0
9219	9220	Directed	418	1.0
9219	9222	Directed	419	1.0
9219	9224	Directed	420	1.0
9211	9226	Directed	421	1.0
9226	9227	Directed	422	1.0
9226	9229	Directed	423	1.0
8636	9231	Directed	424	1.0
9231	9233	Directed	425	1.0
9233	9234	Directed	426	1.0
9233	9236	Directed	427	1.0
9233	9238	Directed	428	1.0
9238	9239	Directed	429	1.0
9238	9241	Directed	430	1.0
9238	9242	Directed	431	1.0
9233	9243	Directed	432	1.0
9231	9246	Directed	433	1.0
9246	9247	Directed	434	1.0
9247	9248	Directed	435	1.0
9247	9250	Directed	436	1.0
9247	9252	Directed	437	1.0
9246	9254	Directed	438	1.0
9246	9257	Directed	439	1.0
9257	9258	Directed	440	1.0
9257	9260	Directed	441	1.0
9257	9262	Directed	442	1.0
9262	9263	Directed	443	1.0
9262	9265	Directed	444	1.0
9257	9267	Directed	445	1.0
9257	9269	Directed	446	1.0
9246	9270	Directed	447	1.0
9270	9272	Directed	448	1.0
9270	9274	Directed	449	1.0
9231	9276	Directed	450	1.0
9276	9277	Directed	451	1.0
9277	9278	Directed	452	1.0
9277	9280	Directed	453	1.0
9277	9281	Directed	454	1.0
9276	9283	Directed	455	1.0
9231	9286	Directed	456	1.0
9286	9287	Directed	457	1.0
9287	9288	Directed	458	1.0
9287	9289	Directed	459	1.0
9286	9290	Directed	460	1.0
9290	9291	Directed	461	1.0
9290	9292	Directed	462	1.0
9290	9294	Directed	463	1.0
9290	9296	Directed	464	1.0
9290	9298	Directed	465	1.0
9231	9300	Directed	466	1.0
9300	9301	Directed	467	1.0
9300	9304	Directed	468	1.0
9300	9307	Directed	469	1.0
9300	9310	Directed	470	1.0
9310	9311	Directed	471	1.0
9311	9312	Directed	472	1.0
9311	9314	Directed	473	1.0
9310	9316	Directed	474	1.0
9316	9317	Directed	475	1.0
9316	9318	Directed	476	1.0
9300	9319	Directed	477	1.0
9319	9320	Directed	478	1.0
9319	9322	Directed	479	1.0
9300	9324	Directed	480	1.0
9324	9325	Directed	481	1.0
9325	9326	Directed	482	1.0
9325	9327	Directed	483	1.0
9325	9328	Directed	484	1.0
9324	9330	Directed	485	1.0
9330	9331	Directed	486	1.0
9330	9333	Directed	487	1.0
9330	9335	Directed	488	1.0
9330	9337	Directed	489	1.0
9330	9339	Directed	490	1.0
9324	9341	Directed	491	1.0
9300	9343	Directed	492	1.0
9343	9345	Directed	493	1.0
9345	9347	Directed	494	1.0
9345	9349	Directed	495	1.0
9345	9351	Directed	496	1.0
9345	9353	Directed	497	1.0
9345	9354	Directed	498	1.0
9343	9356	Directed	499	1.0
9300	9358	Directed	500	1.0
9358	9359	Directed	501	1.0
9359	9360	Directed	502	1.0
9359	9362	Directed	503	1.0
9359	9364	Directed	504	1.0
9358	9366	Directed	505	1.0
9366	9368	Directed	506	1.0
9366	9370	Directed	507	1.0
9366	9372	Directed	508	1.0
9366	9374	Directed	509	1.0
9366	9376	Directed	510	1.0
9366	9378	Directed	511	1.0
