Id	Label
9459	Mathematics
9461	History and Foundations of Mathematics
9526	Branches of Mathematics
9690	Applications of Mathematics
9462	History of mathematics
9507	Foundations of mathematics
9527	Set theory
9540	Algebra
9576	Geometry
9614	Analysis
9648	Combinatorics and numbertheory
9660	Topology
9691	Mathematics as a calculatory science
9719	Statistics
9731	Numerical analysis
9738	Automata theory
9744	Mathematical theory of optimization
9749	Information theory
9754	Computer science
9761	Mathematical aspects of physical theories
9463	The development of mathematics in general through ancient, medieval, and modern times
9475	Historical development of representative nonprobabilistic areas of mathematics
9499	Historical development of probabilistic areas of mathematics 
9508	The axiomatic method: mathematical analysis based upon a set of axioms, or unproved statements
9512	The genetic method
9516	The crisis in the foundations of mathematics after 1900
9521	Current directions ininvestigations of the foundations of mathematics
9528	Origins of set theory and the deEnitions of a set and a set element, or member
9529	Introduction to set theory
9532	Axiomatic set theory
9541	Arithmetic
9552	Elementary and multivariate algebra
9557	Linear and multitinear algebra
9568	Algebraic structures
9577	Euclidean geometry
9588	Non-Euclidean geometry
9594	Projective geometry
9600	Analytic and trigonometric geometry
9608	Combinatorial geometry
9610	Diflerential geometry
9612	Algebraic geometry
9615	Real analysis
9620	Complex analysis
9624	Dilferential equations
9630	Functional analysis
9634	Fourier analysis
9639	Theory of probability
9644	Vector and tensor analysis
9649	Combinatorics and combinatorial geometry
9654	Number theory
9661	General topology
9669	Topological groups and differential topology
9676	Algebraic topology
9692	Numerical notations
9696	Geometrical aids
9703	Mathematical models 
9705	Calculatory aspects of algebra
9709	Calculation using tables and graphs
9712	Analogue computation
9715	Digital computation
9720	The basic principles of statistical inference
9726	Estimation 
9728	Hypothesis testing 
9730	Structure in data : use of regression analysis to discover systematic patterns
9732	Introduction : definition, origins, and basic concepts of numerical analysis
9733	Errors : round-oFF and truncation
9734	Approximation of functions : linear and polynomial interpolation, least squares approximation
9735	Solution of equations : linear, nonlinear, and difrerential equations
9736	Applications and implementation of numerical analysis 
9739	Introduction 
9741	Neural nets and automata
9742	Probabilistic questions : random eifects in the operation of automata
9743	Classification of automata
9745	The theory of games : analysis of the strategic features of conflict situations
9746	Linear and nonlinear programming (mathematical programming)
9747	Cybemetics
9748	Control theory
9750	Origins and definitions of information theory
9751	Central problems of information theory
9752	Principles of information theory
9753	Applications of information theory to cryptography, linguistics, and other fields
9755	Synthesis and analysis of algorithms
9756	Theory of computation
9757	Computer architecture
9758	Programming languages and methodolog ;
9759	Numeric computation
9760	Artificial intelligence
9762	Mechanics of particles and systems
9763	Fluid mechanics
9764	Mechanics of solids
9765	Statistical mechanics
9766	Electromagnetic theory
9767	Relativity theory : space and time as a four-dimensional continuum
9768	Riemannian geometry
9769	Quantum mechanics
9770	Dimensional analysis
9464	Ancient and medieval periods
9468	The modern period
9476	Numerals and numeral systems
9479	Introduction of symbolic notations to represent mathematical quantities, operations, and relationships
9480	Calculatory science
9486	Geometry
9494	Algebra
9500	Development of the mathematical theory of probability
9505	Development of mathematical statistics 
9509	Euclidean geometry
9510	Non-Euclidean geometry
9511	The formal axiomatic method
9514	Arithmetic and analysis
9515	the concept of cardinal number and the theory of sets
9518	The paradoxes
9519	Intuitionism
9520	Logicism, Formalism, and the metamathematical method
9522	Intuitionistic studies of the foundations of mathematics 
9524	Non-Intuitionistic studies of the foundations of mathematics 
9530	Fundamental set concepts
9531	Essential features of Cantorian set theory
9534	Postulates of axiomatic set theory 
9536	Limitations of axiomatic set theory 
9538	The present status of axiomatic set theory 
