Source	Target	Type	id	weight
1248	1255	Directed	17	1.0
1248	1251	Directed	13	1.0
1248	1250	Directed	12	1.0
1248	1249	Directed	11	1.0
1296	1308	Directed	64	1.0
1296	1307	Directed	63	1.0
1296	1306	Directed	62	1.0
1296	1300	Directed	56	1.0
1296	1297	Directed	53	1.0
1310	1317	Directed	73	1.0
1310	1312	Directed	68	1.0
1310	1311	Directed	67	1.0
1244	1247	Directed	9	1.0
1244	1246	Directed	8	1.0
1244	1245	Directed	7	1.0
1269	1272	Directed	32	1.0
1269	1271	Directed	31	1.0
1269	1270	Directed	30	1.0
1426	1433	Directed	181	1.0
1426	1432	Directed	180	1.0
1426	1431	Directed	179	1.0
1426	1430	Directed	178	1.0
1426	1429	Directed	177	1.0
1426	1428	Directed	176	1.0
1426	1427	Directed	175	1.0
1289	1295	Directed	51	1.0
1289	1294	Directed	50	1.0
1289	1293	Directed	49	1.0
1289	1292	Directed	48	1.0
1289	1291	Directed	47	1.0
1289	1290	Directed	46	1.0
1335	1426	Directed	174	1.0
1257	1296	Directed	52	1.0
1257	1289	Directed	45	1.0
1257	1280	Directed	38	1.0
1257	1273	Directed	33	1.0
1257	1269	Directed	29	1.0
1257	1265	Directed	25	1.0
1257	1258	Directed	19	1.0
1258	1261	Directed	22	1.0
1258	1260	Directed	21	1.0
1258	1259	Directed	20	1.0
1265	1268	Directed	28	1.0
1265	1267	Directed	27	1.0
1265	1266	Directed	26	1.0
1273	1279	Directed	37	1.0
1273	1277	Directed	36	1.0
1273	1275	Directed	35	1.0
1273	1274	Directed	34	1.0
1318	1322	Directed	78	1.0
1318	1321	Directed	77	1.0
1318	1320	Directed	76	1.0
1318	1319	Directed	75	1.0
1309	1325	Directed	80	1.0
1309	1323	Directed	79	1.0
1309	1318	Directed	74	1.0
1309	1310	Directed	66	1.0
1312	1316	Directed	72	1.0
1312	1315	Directed	71	1.0
1312	1314	Directed	70	1.0
1312	1313	Directed	69	1.0
1239	1335	Directed	88	1.0
1239	1309	Directed	65	1.0
1239	1257	Directed	18	1.0
1239	1241	Directed	3	1.0
1241	1248	Directed	10	1.0
1241	1242	Directed	4	1.0
1242	1244	Directed	6	1.0
1242	1243	Directed	5	1.0
1261	1264	Directed	24	1.0
1261	1262	Directed	23	1.0
1251	1254	Directed	16	1.0
1251	1253	Directed	15	1.0
1251	1252	Directed	14	1.0
1325	1329	Directed	84	1.0
1325	1326	Directed	81	1.0
1300	1305	Directed	61	1.0
1300	1304	Directed	60	1.0
1300	1303	Directed	59	1.0
1300	1302	Directed	58	1.0
1300	1301	Directed	57	1.0
1329	1333	Directed	87	1.0
1329	1332	Directed	86	1.0
1329	1330	Directed	85	1.0
1297	1299	Directed	55	1.0
1297	1298	Directed	54	1.0
1326	1328	Directed	83	1.0
1326	1327	Directed	82	1.0
1280	1288	Directed	44	1.0
1280	1287	Directed	43	1.0
1280	1285	Directed	42	1.0
1280	1284	Directed	41	1.0
1280	1282	Directed	40	1.0
1280	1281	Directed	39	1.0
