Source	Target	Type	Id	Weight
1	3319	Directed	1	1.0
3319	4197	Directed	2	1.0
4197	4199	Directed	3	1.0
4199	4200	Directed	4	1.0
4199	4201	Directed	5	1.0
4201	4202	Directed	6	1.0
4201	4204	Directed	7	1.0
4204	4205	Directed	8	1.0
4204	4206	Directed	9	1.0
4204	4207	Directed	10	1.0
4204	4208	Directed	11	1.0
4199	4210	Directed	12	1.0
4210	4211	Directed	13	1.0
4211	4212	Directed	14	1.0
4211	4213	Directed	15	1.0
4211	4214	Directed	16	1.0
4211	4215	Directed	17	1.0
4211	4216	Directed	18	1.0
4211	4217	Directed	19	1.0
4210	4218	Directed	20	1.0
4218	4219	Directed	21	1.0
4218	4220	Directed	22	1.0
4210	4221	Directed	23	1.0
4210	4223	Directed	24	1.0
4197	4225	Directed	25	1.0
4225	4226	Directed	26	1.0
4226	4227	Directed	27	1.0
4226	4229	Directed	28	1.0
4226	4231	Directed	29	1.0
4231	4232	Directed	30	1.0
4231	4233	Directed	31	1.0
4231	4234	Directed	32	1.0
4231	4235	Directed	33	1.0
4231	4236	Directed	34	1.0
4225	4238	Directed	35	1.0
4238	4239	Directed	36	1.0
4239	4240	Directed	37	1.0
4239	4241	Directed	38	1.0
4239	4242	Directed	39	1.0
4239	4243	Directed	40	1.0
4239	4244	Directed	41	1.0
4238	4245	Directed	42	1.0
4245	4246	Directed	43	1.0
4245	4247	Directed	44	1.0
4245	4249	Directed	45	1.0
4245	4250	Directed	46	1.0
4238	4251	Directed	47	1.0
4251	4252	Directed	48	1.0
4251	4254	Directed	49	1.0
4251	4255	Directed	50	1.0
4238	4257	Directed	51	1.0
4257	4258	Directed	52	1.0
4257	4259	Directed	53	1.0
4257	4260	Directed	54	1.0
4238	4261	Directed	55	1.0
4261	4262	Directed	56	1.0
4261	4263	Directed	57	1.0
4261	4264	Directed	58	1.0
4261	4265	Directed	59	1.0
4238	4266	Directed	60	1.0
4266	4267	Directed	61	1.0
4266	4268	Directed	62	1.0
4266	4269	Directed	63	1.0
4238	4270	Directed	64	1.0
4270	4271	Directed	65	1.0
4270	4273	Directed	66	1.0
4270	4274	Directed	67	1.0
4270	4275	Directed	68	1.0
4238	4276	Directed	69	1.0
4276	4277	Directed	70	1.0
4276	4278	Directed	71	1.0
4276	4279	Directed	72	1.0
4276	4280	Directed	73	1.0
4225	4281	Directed	74	1.0
