Id	Label
1	Britannica
1237	The Earth
1608	The Earth's Surface Features
1610	Physical Features of the Earth's Surface
1660	Features Produced by Geomorphic Processes Acting on the Earth's Surface
1611	Vertical relief of the Earth's surface
1622	The stable platform regions of the continents
1630	The continental shelf, slope, and rise
1634	The oceanic deeps
1641	Coral islands, coral reefs, and atolls 
1642	The major mountain ranges and fracture zones of the Earth's crust on the continents and beneath the oceans
1651	Oceanic ridges
1661	The action of the hydrosphere and atmosphere on the Earth's surface features
1691	The actions of the biosphere, exosphere, and lithosphere upon the Earth's surface features
1701	The characteristic features of the Earth's major environments
1765	Basic concepts in the theory of landform evolution
1612	Hypsography of the Earth's surface
1615	Physiography of the continents
1618	The oceanic regions
1623	The continental shield areas and their age, structure, and constituent rocks
1625	Uplift, downwarp, and fracture of continental platforms
1631	Composition: evidence from bottom samples, geophysical techniques
1632	Structure and origin
1633	Submarine canyons incising the continental terrace
1635	Components of ocean basins
1639	The origin of ocean basins
1643	Types of mountains; e.g., volcanic, block-fault, folded
1645	The worldwide system of mountain ranges, fracture zones, and volcanic island arcs
1652	Classification of ridges
1655	Origin and growth of ridges
1658	Occurrence and distribution of ridges in the Atlantic, Pacific, and Indian oceans 
1662	The process of weathering: the disintegration and alteration of rocks at or near the Earth's surface
1664	Soil formation as a result of weathering
1669	Gravitational processes: earth movements on slopes
1671	Fluvial processes
1676	Eolian processes
1681	Marine processes
1684	Glacial processes
1687	Lacustrine processes
1692	Biological processes 
1697	Extraterrestrial processes: the occurrence of meteorite craters 
1699	Volcanic-tectonic processes
1702	The fluvial environment 
1709	The lacustrine environment 
1715	The estuarine environment
1718	The marine environment
1730	The desert environment
1741	The glacial environment 
1755	The polar environment
1757	The tropical environment: jungles, rain forests 
1759	The temperate environment: woodlands and grasslands 
1761	The subterranean environment: e.g., caves and cave systems 
1763	Karst topography
1766	The concept of uniformitarianism 
1767	The concept of the cycle of erosion
1768	The concept of morphogenetic regions
1769	The concept of dynamic equilibrium
1770	The concept of entropy
1619	Principal oceanic features
1621	Oceanic physiography
1626	Plateaus and basins
1627	Rift valleys
1628	Water bodies occupying fault-bounded structural depressions
1636	The oceanic crust
1637	Major features of the deep-ocean floor
1646	The Circum-Pacific System
1647	The Tethyan System
1648	Subsidiary mountain ranges
1649	The volcanic island arc systems
1650	The rock types constituting the folded mountain ranges and island arcs 
1653	The global oceanic ridge system; spreading-centre zones and associated phenomena
1654	Aseismic ridges
1656	General geophysical properties
1657	Oceanic ridges as manifestations of divergent lithospheric plate boundaries 
1665	Processes and factors in soil formation
1666	Classification and distribution of soils
1667	Soil crusts
1668	Soil erosion and deterioration
1672	Entrainment and transport of materials
1673	Erosion, deposition
1674	The sediment yield of drainage systems
1675	The formation of hillslopes
1677	Transportation of rock debris by wind
1678	Effects of wind transport
1679	Deposition by wind: formation and migration of dunes, the role of vegetation
1680	Wind action and the works of humankind
1682	Erosion and deposition of coastal materials by waves and currents
1683	Transport of sediment by density flows
1688	Erosion and deposition by waves and currents
1689	Sedimentation in lakes
1690	Effects of flora and fauna on lakes and lake systems 
1693	Effects of plants and organisms on rock weathering and soil formation
1694	Effects of vegetation type and density on sediment yield
1695	Effects of humankind on the Earth's surface features
1703	Distribution of rivers in nature
1704	Drainage patterns
1705	The geometry of river systems
1706	Streamflow and fluvial landforms
1708	The evolution of river systems through geological time
1710	Lake basins
1711	Lake hydraulics: lake currents, surface waves, seiches, effects of wave and current action 
1712	Lakes in arid regions
1713	Glacial lakes
1714	Swamps, marshes, and bogs
1716	The formation and destruction of estuaries
1717	Hydrologic features of estuaries
1719	Coastal features resulting from depositional processes
1726	Coastal features resulting from erosional processes: sea cliffs and related landforms
1727	Coastal features dependent on bedrock type, bedrock structure, or local topography
1729	Submerged coastal features: the continental shelf and slope, submarine canyons
1731	Geomorphic processes that shape desert landforms
1732	Surficial features of deserts
1740	Desert boundaries: expansion and contraction of desert areas 
1742	Processes of glaciation
1743	Landforms produced by glacial erosion
1747	Landforms produced by glacial deposition
1751	Landforms produced by periglacial processes
1720	Beaches: materials, morphological features, physical processes
1721	Sand dunes and sandbars
1722	River deltas
1723	Coral reefs
1724	Lagoons
1725	Marshes
1733	Mountains, plateaus, pinnacles, and similar features
1734	Alluvial fans
1736	Pediments: bedrock surfaces fringing desert highlands
1737	Desert plains, basins, depressions
1738	Playas, pans, saline flats
1739	Sand sheets and sand dunes
1744	Rock polish, striations, grooves, and other small-scale features
1745	Glaciated valleys, cirques, aretes, horns, fjords
1746	Glacially eroded rock basins in non-mountainous regions
1748	Glacial till, moraines, drumlins, and other landforms of nonstratified drift
1749	Ice-contact deposits, kames, eskers, and other landforms of stratified drift
1750	Glaciolacustrine sediments and associated landforms
1752	Permafrost
1753	Talus, rock glaciers, block fields
1754	Patterned ground, including stone nets, stripes, and polygons, and features related to the melting of buried ice masses
