Source	Target	Type	Id	Weight
1	2	Directed	1	1.0
2	4	Directed	2	1.0
4	6	Directed	3	1.0
4	55	Directed	4	1.0
2	174	Directed	5	1.0
174	176	Directed	6	1.0
174	247	Directed	7	1.0
174	371	Directed	8	1.0
174	473	Directed	9	1.0
174	591	Directed	10	1.0
174	687	Directed	11	1.0
174	763	Directed	12	1.0
174	870	Directed	13	1.0
2	978	Directed	14	1.0
978	980	Directed	15	1.0
978	1042	Directed	16	1.0
978	1141	Directed	17	1.0
1	1237	Directed	18	1.0
1237	1239	Directed	19	1.0
1239	1241	Directed	20	1.0
1239	1257	Directed	21	1.0
1239	1309	Directed	22	1.0
1239	1335	Directed	23	1.0
1237	1435	Directed	24	1.0
1435	1437	Directed	25	1.0
1435	1488	Directed	26	1.0
1435	1539	Directed	27	1.0
1237	1608	Directed	28	1.0
1608	1610	Directed	29	1.0
1608	1660	Directed	30	1.0
1237	1771	Directed	31	1.0
1771	1773	Directed	32	1.0
1771	1808	Directed	33	1.0
1771	1880	Directed	34	1.0
1	1899	Directed	35	1.0
1899	1901	Directed	36	1.0
1901	1903	Directed	37	1.0
1901	1920	Directed	38	1.0
1901	1964	Directed	39	1.0
1899	2067	Directed	40	1.0
2067	2069	Directed	41	1.0
2067	2131	Directed	42	1.0
2067	2147	Directed	43	1.0
1899	2170	Directed	44	1.0
2170	2172	Directed	45	1.0
2170	2216	Directed	46	1.0
2170	2265	Directed	47	1.0
2170	2328	Directed	48	1.0
2170	2387	Directed	49	1.0
2170	2409	Directed	50	1.0
2170	2453	Directed	51	1.0
2170	2511	Directed	52	1.0
2170	2553	Directed	53	1.0
1899	2569	Directed	54	1.0
2569	2571	Directed	55	1.0
2569	2590	Directed	56	1.0
1899	2618	Directed	57	1.0
2618	2620	Directed	58	1.0
2618	2660	Directed	59	1.0
2618	2711	Directed	60	1.0
2618	2726	Directed	61	1.0
2618	2770	Directed	62	1.0
1	2808	Directed	63	1.0
2808	2810	Directed	64	1.0
2810	2812	Directed	65	1.0
2810	2839	Directed	66	1.0
2808	2857	Directed	67	1.0
2857	2859	Directed	68	1.0
2857	2948	Directed	69	1.0
2857	2988	Directed	70	1.0
2857	3084	Directed	71	1.0
2808	3119	Directed	72	1.0
3119	3121	Directed	73	1.0
3119	3155	Directed	74	1.0
3119	3240	Directed	75	1.0
3119	3258	Directed	76	1.0
3119	3280	Directed	77	1.0
3119	3295	Directed	78	1.0
1	3319	Directed	79	1.0
3319	3321	Directed	80	1.0
3321	3323	Directed	81	1.0
3321	3375	Directed	82	1.0
3321	3394	Directed	83	1.0
3321	3419	Directed	84	1.0
3319	3529	Directed	85	1.0
3529	3531	Directed	86	1.0
3529	3569	Directed	87	1.0
3529	3600	Directed	88	1.0
3529	3620	Directed	89	1.0
3319	3661	Directed	90	1.0
3661	3663	Directed	91	1.0
3661	3691	Directed	92	1.0
3661	3731	Directed	93	1.0
3661	3850	Directed	94	1.0
3661	3889	Directed	95	1.0
3661	3917	Directed	96	1.0
3319	3940	Directed	97	1.0
3940	3942	Directed	98	1.0
3940	3988	Directed	99	1.0
3940	4006	Directed	100	1.0
3940	4020	Directed	101	1.0
3319	4035	Directed	102	1.0
4035	4037	Directed	103	1.0
4035	4071	Directed	104	1.0
4035	4100	Directed	105	1.0
3319	4197	Directed	106	1.0
4197	4199	Directed	107	1.0
4197	4225	Directed	108	1.0
1	4282	Directed	109	1.0
4282	4284	Directed	110	1.0
4284	4286	Directed	111	1.0
4284	4308	Directed	112	1.0
4284	4359	Directed	113	1.0
4282	4392	Directed	114	1.0
4392	4394	Directed	115	1.0
4392	4463	Directed	116	1.0
4392	4509	Directed	117	1.0
4392	4530	Directed	118	1.0
4392	4620	Directed	119	1.0
4392	4641	Directed	120	1.0
4392	4672	Directed	121	1.0
4392	4699	Directed	122	1.0
4392	4763	Directed	123	1.0
1	4829	Directed	124	1.0
4829	4831	Directed	125	1.0
4831	4833	Directed	126	1.0
4831	4867	Directed	127	1.0
4829	4898	Directed	128	1.0
4898	4900	Directed	129	1.0
4898	4945	Directed	130	1.0
4898	4997	Directed	131	1.0
4898	5053	Directed	132	1.0
4898	5115	Directed	133	1.0
4829	5188	Directed	134	1.0
