Id	Label
1	Britannica
1237	The Earth
1239	The Earth's Properties,Structure,and Composition
1435	The Earth's Envelope: Its Atmosphere and Hydrosphere
1608	The Earth's Surface Features
1771	The Earth's History
1241	The Planet Earth
1257	The Earth's Physical Properties
1309	The Structure and Composition of the Earth's Interior
1335	The Earth's Constituent Minerals and Rocks
1437	The Atmosphere
1488	The Hydrosphere: the Oceans, Freshwater Bodies, and Ice Masses
1539	Weather and Climate
1610	Physical Features of the Earth's Surface
1660	Features Produced by Geomorphic Processes Acting on the Earth's Surface
1773	Origin and Development of the Earth and Its Envelopes
1808	The Interpretation of the Geological Record
1880	The Eras and Periods of Geological Time
1242	The orbital motions of the Earth
1248	The figure of the Earth
1258	The Earth's gravitational field
1265	The Earth's magmetic field
1269	The Earth's electrical properties
1273	The Earth's thermal properties
1280	The mechanical properties of the Earth
1289	Physical properties of Earth materials
1296	The deformation of materials in the Earth's crust
1310	The Earth's concentric layers
1318	Earthquakes: sources of seismic waves within the Earth
1323	Distribution of elements in the Earth core,mantle,and crust
1325	The indirect geophysical and geochemical evidence used to infer the structure and composition of the Earth's interior
1336	The mineral constituents of the Earth
1378	Rocks and other constituents of the Earth's crust
1426	Occurrence of the elements in the Earth and its envelope
1438	The composition, structure, and features of the atmosphere
1465	The large-scale motions of the atmosphere
1489	The distribution of water in the hydrosphere
1502	The physical and chemical properties of seawater
1503	The physical and chemical properties of freshwater
1504	The hydrologic cycle
1512	Ocean-atmosphere interactions
1521	Effects of human activities on the hydrosphere
1523	Waves in the hydrosphere
1527	Ocean currents
1540	Condensation of water in the atmosphere producing clouds, fogs, and precipitation
1561	Winds and storms 
1566	Weather forecasting
1580	Weather lore
1581	Climate: the aggregate of weather
1611	Vertical relief of the Earth's surface
1622	The stable platform regions of the continents
1630	The continental shelf, slope, and rise
1634	The oceanic deeps
1641	Coral islands, coral reefs, and atolls 
1642	The major mountain ranges and fracture zones of the Earth's crust on the continents and beneath the oceans
1651	Oceanic ridges
1661	The action of the hydrosphere and atmosphere on the Earth's surface features
1691	The actions of the biosphere, exosphere, and lithosphere upon the Earth's surface features
1701	The characteristic features of the Earth's major environments
1765	Basic concepts in the theory of landform evolution
1774	The origin and evolution of the lithosphere
1778	The origin and evolution of the atmosphere 
1785	The origin and evolution of the hydrosphere
1789	The formation and growth of the continents
1793	The formation and growth of mountain ranges and belts
1798	The theory of plate tectonics
1809	The stratigraphic interpretation of the geological record
1829	The interpretation of the geological record
1860	Relative age dating
1863	Absolute dating
1878	The paleogeographical interpretation of the geological record
1879	The reconstruction of the geological history of the Earth based on the global correlation of the accumulated evidence from the rock record
1881	Precambrian time: from the time of formation of the oldest rocks to 570 million years ago
1882	The Paleozoic Era: from 570 to 245 million years ago
1889	The Mesozoic Era: from 245 to 66.4 million years ago
1893	The Cenozoic Era: from 64.4 million years ago to the present
1243	The revolution of the Earth about the Sun,the rotation of the Earth on its axis
1244	Forces and dynamic effects related to the rotation of the Earth
1249	The conventional definition of the figure of the Earth:the geoid
1250	The development of improved approximations to the Earth's size and shape
1251	The world geodetic system:the measurement of geodetic parameters
1255	International reference systems
1259	Characteristics of the terrestrial field
1260	Measurement of gravitational acceleration
1261	Interpretation of gravity data:inference about the Earth,s interior
1266	Measurement and representation of magnetic fields
1267	Sources and characteristics of the Earth's main magnetic field
1268	Variations in the main magnetic field including polarity reversals,magnetic storms,magnetospheric substorms,and magnetic pulsations
1270	Currents produced by the motion of charged particles in the Earth's ionoshpere
1271	Electrical conductivity and dielectric behaviour of the Earth's rocks and minerals
1272	Currents induced by magnetic field variations,currents generated by the Earth's core
1274	Sources of the Earth's heat
1275	Transmission of heat from the Earth's interior to its surface
1277	Geological aspects of heat flow
1279	Surface manifestations of heat flow: volcanoes, hot springs, geysers, and related phenomena
1281	The fundamental mechanical properties of the Earth's body and the indirect evidence used todetermine them
1282	Nature of deformable media
1284	The basic internal mechanical properties of the Earth
1285	The Earth's departures from spherical symmetry
1287	Anelasticity in the Earth
1288	Response of the Earth to stresses of long duration
1290	Volumetric properties: rock density and porosity
1291	Mechanical properties
1292	Thermal properties: specific heal and thermal conductivity, thermal expansion and rock melting
1293	Magnetic and electrical properties
1294	Hydraulic properties:porosity and permeability,the capacity to store and transmit fluids
1295	Optical properties: colour, lustre
1297	Stress and strain of rocks
1300	Folding of rocks
1306	Fracture in rocks; joints, faults
1307	Structural interference the superposition of strains produced by the tectonic events of different ages
1308	The deformation of ice in sheets and glaciers
1311	Physical properties and zonal structure of the Earth
1312	The basic divisions of the solid Earth
1317	The development of the Earth's structure and composition
1319	Causes of earthquakes
1320	Distribution of earthquakes
1321	Magnitude,motion,and energy of earthquakes
1322	Seismic measurements and their interpretation
1326	Geophysical evidence, mainly from earthquake analyses
1329	Geochemical evidence
1337	The chemical composition, internal structure, and morphology of minerals
1338	The physical properties of minerals
1340	Classification of minerals in terms of crystal structure and chemical composition
1359	The occurrence of minerals in nature
1379	Igneous rocks
1391	Sedimentary rocks
1407	Melamorphic rocks
1413	The rock associations formed in different environments of the Earth's crust
1421	Fossil fuels
1427	Core
1428	Mantle (depleted and undepleted)
1429	Crust: igneous, sedimentary, and metamorphic rocks; soils
1430	Hydrosphere
1431	Atmosphere
1432	Biosphere: selective concentration of elements by plants and animals
1433	The geochemical cycle
1439	Division of the atmosphere by composition
1448	Thermal structure
1453	Regions and phenomena of the upper atmosphere
1466	The general nature and relative scales of atmospheric motions
1469	The relation of wind to pressure and temperature
1472	Jet streams
1474	The westerlies of the mid-latitudes
1477	Tropical wind systems
1481	Stratospheric and mesospheric wind systems
1484	The mean meridional circulations of the atmosphere
1486	The driving mechanism of the atmosphere: the energy balance and the transport of heat and momentum
1490	Saltwater bodies
1493	Freshwater bodies
1496	Ice
1500	Water in the biosphere
1505	The general nature of the hydrologic cycle
1507	The roles of evaporation and transpiration in the hydrologic cycle
1508	The role of water vapour in the hydrologic cycle: condensation, precipitation
1509	Runoff and subsurface water in the hydrologic cycle
1510	The role of ice in the hydrologic cycle
1511	Water resources and supply
1513	Radiation, heat, and water budgets
1515	Oceanic waters as an important sink for carbon dioxide
1517	Impact of ocean-atmosphere interactions on climate and weather
1524	Surface waves: simple waves, ocean waves, tsunamis
1525	Internal waves
1526	Tides
1528	The distribution of ocean currents
1530	The forces that cause and affect ocean currents
1533	The general surface circulation
1535	Subsurface ocean currents
1541	Moisture in the atmosphere
1545	Condensation of atmospheric water vapour
1550	Clouds and fogs
1556	Precipitation
